original,short
LINE_2003-10-31_04_00_30.wav,0.wav
LINE_2004-03-19_23_31_12.wav,1.wav
LINE_2004-03-20_01_01_11.wav,2.wav
LINE_2004-02-22_04_00_21.wav,3.wav
LINE_2003-10-31_18_00_29.wav,4.wav
LINE_2004-02-21_20_00_25.wav,5.wav
LINE_2004-02-22_05_30_21.wav,6.wav
LINE_2003-10-30_23_00_33.wav,7.wav
LINE_2004-02-08_20_30_20.wav,8.wav
LINE_2003-11-02_18_59_53.wav,9.wav
LINE_2004-02-20_00_00_45.wav,10.wav
LINE_2004-02-22_20_00_14.wav,11.wav
LINE_2004-02-07_22_30_33.wav,12.wav
LINE_2003-11-01_02_30_24.wav,13.wav
LINE_2004-02-19_22_30_45.wav,14.wav
LINE_2003-11-02_04_30_01.wav,15.wav
LINE_2004-02-22_18_00_15.wav,16.wav
LINE_2004-02-23_00_30_12.wav,17.wav
LINE_2004-02-20_01_30_44.wav,18.wav
LINE_2004-02-20_19_00_36.wav,19.wav
LINE_2004-02-09_01_00_18.wav,20.wav
LINE_2003-10-31_02_30_36.wav,21.wav
LINE_2004-03-20_18_31_03.wav,22.wav
LINE_2003-11-01_20_00_06.wav,23.wav
LINE_2004-02-07_23_30_32.wav,24.wav
LINE_2003-10-31_22_00_27.wav,25.wav
LINE_2004-03-20_19_01_03.wav,26.wav
LINE_2004-02-10_00_00_04.wav,27.wav
LINE_2003-10-31_19_00_21.wav,28.wav
LINE_2004-02-07_19_00_35.wav,29.wav
LINE_2004-02-24_04_59_59.wav,30.wav
LINE_2004-02-23_04_30_10.wav,31.wav
LINE_2004-02-22_06_00_20.wav,32.wav
LINE_2004-02-24_03_00_00.wav,33.wav
LINE_2003-10-31_01_30_36.wav,34.wav
LINE_2004-02-09_21_30_06.wav,35.wav
LINE_2004-02-23_22_00_02.wav,36.wav
LINE_2004-03-20_22_01_02.wav,37.wav
LINE_2004-02-23_02_30_11.wav,38.wav
LINE_2004-02-19_18_30_47.wav,39.wav
LINE_2004-03-20_02_01_11.wav,40.wav
LINE_2004-02-23_05_30_10.wav,41.wav
LINE_2003-11-01_03_00_16.wav,42.wav
LINE_2004-02-10_00_30_04.wav,43.wav
LINE_2004-02-10_22_59_51.wav,44.wav
LINE_2004-02-10_17_59_54.wav,45.wav
LINE_2003-10-31_00_30_32.wav,46.wav
LINE_2003-11-01_05_00_15.wav,47.wav
LINE_2004-02-20_02_30_44.wav,48.wav
LINE_2003-10-30_20_00_34.wav,49.wav
